City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
1,7,19,1,0,64,11,0,2,26,1,0,0,2015
1,11,19,1,0,53,4,0,3,30,1,2,1,2011
2,16,20,4,0,55,10,0,5,30,2,2,0,2006
3,16,11,6,1,53,12,0,7,22,3,4,0,2006
4,30,14,8,1,50,11,0,9,24,4,18,0,2014
5,5,8,10,1,73,9,0,3,12,5,9,1,2015
6,28,20,7,0,69,2,0,10,26,6,14,0,2014
7,2,14,5,1,71,12,0,4,20,7,17,0,2007
8,26,8,11,1,62,2,0,12,14,8,12,0,2008
9,2,23,11,1,72,7,0,12,26,9,20,1,2013
10,11,10,4,1,61,1,0,12,18,10,7,0,2015
11,31,18,6,1,54,10,0,5,30,11,9,0,2010
1,1,17,1,1,64,12,0,2,22,1,0,0,2014
12,31,9,11,1,38,10,0,3,24,12,5,0,2009
13,28,23,7,0,84,4,0,6,26,13,20,1,2011
14,7,16,3,1,71,11,0,12,22,14,14,0,2010
1,12,26,1,1,72,7,0,5,30,1,1,0,2015
15,24,24,7,0,77,7,0,6,28,15,9,1,2013
16,30,16,10,1,62,1,0,4,24,16,15,1,2007
17,18,11,13,1,81,8,0,14,14,17,15,0,2010
13,11,22,1,0,71,4,0,10,27,13,19,1,2007
1,17,26,1,1,79,6,0,11,30,1,2,1,2014
18,20,23,7,1,84,3,0,10,26,18,13,1,2009
19,31,22,12,1,83,1,2,7,28,19,10,0,2011
20,22,8,10,1,51,6,0,3,16,20,9,0,2010
21,22,8,10,0,76,8,0,5,12,21,15,0,2008
22,9,10,10,0,72,7,0,12,16,22,15,0,2011
1,13,19,1,1,44,4,0,3,30,1,1,1,2011
23,20,12,6,0,60,10,0,5,23,23,2,0,2007
24,17,21,1,1,70,3,0,11,26,24,9,0,2007
25,10,24,7,0,71,3,0,2,28,25,19,0,2010
26,11,14,1,0,32,10,0,7,28,26,8,1,2006
18,16,24,7,0,86,7,0,6,27,18,7,0,2013
5,9,16,10,1,84,9,0,11,18,27,12,0,2011
27,26,14,10,1,76,8,0,5,19,28,19,0,2008
28,21,19,5,1,77,1,0,7,21,29,17,0,2015
26,15,15,11,1,45,10,0,10,28,26,6,0,2006
5,5,13,10,0,71,9,0,11,18,27,8,1,2007
29,31,19,4,1,81,1,0,6,23,30,10,0,2016
30,28,21,7,0,59,7,0,1,28,31,12,1,2009
1,15,12,6,1,37,3,0,12,25,1,1,0,2012
31,20,14,5,0,53,1,0,12,25,32,15,1,2012
32,6,22,3,0,74,9,0,1,27,33,11,0,2008
33,13,17,11,0,60,11,0,12,26,34,3,0,2014
5,28,15,10,0,83,6,0,12,18,27,8,0,2011
34,29,10,10,0,85,9,0,4,12,35,17,1,2009
17,25,10,13,1,81,8,0,10,12,17,14,1,2011
22,28,10,10,1,89,5,0,12,12,22,13,0,2014
35,19,14,11,1,61,1,0,10,20,36,6,0,2013
36,8,5,2,1,48,5,0,1,16,37,10,0,2013
37,8,14,4,1,61,1,0,7,20,38,12,1,2014
35,23,20,11,1,87,10,2,3,22,36,4,0,2013
38,24,14,10,0,91,8,2,5,16,39,12,0,2012
9,24,21,4,1,61,4,0,12,27,9,8,1,2007
8,23,6,3,0,56,1,0,12,12,8,12,0,2013
16,31,8,3,1,39,1,0,6,23,16,21,0,2010
4,16,11,8,1,37,11,0,15,26,4,9,1,2015
19,3,22,16,1,75,3,0,6,28,40,12,1,2011
29,28,15,4,1,77,2,0,3,20,30,8,0,2015
30,30,24,7,0,70,5,0,5,28,31,8,1,2010
1,5,24,1,0,69,10,0,4,30,1,1,0,2010
22,28,12,10,1,76,6,0,12,16,22,7,1,2006
12,11,15,11,0,50,10,0,7,27,12,3,0,2014
12,24,13,5,1,70,2,0,7,18,12,5,0,2011
