City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
Mirpur,7,19,Bangladesh,0,64,11,0,Zimbabwe,26,Shere Bangla National Stadium,0,0,2015
Mirpur,11,19,Bangladesh,0,53,4,0,Australia,30,Shere Bangla National Stadium,2,1,2011
Mumbai,16,20,New Zealand,0,55,10,0,South Africa,30,Brabourne Stadium,2,0,2006
Karachi,16,11,Pakistan,1,53,12,0,West Indies,22,National Stadium,4,0,2006
Dubai,30,14,United Arab Emirates,1,50,11,0,Afghanistan,24,ICC Academy,18,0,2014
London,5,8,England,1,73,9,0,Australia,12,Lord's,9,1,2015
Antigua,28,20,West Indies,0,69,2,0,England,26,"Sir Vivian Richards Stadium, North Sound",14,0,2014
Cape Town,2,14,South Africa,1,71,12,0,New Zealand,20,Newlands,17,0,2007
Hobart,26,8,India,1,62,2,0,Sri Lanka,14,Bellerive Oval,12,0,2008
Jamaica,2,23,India,1,72,7,0,Sri Lanka,26,"Sabina Park, Kingston",20,1,2013
Christchurch,11,10,New Zealand,1,61,1,0,Sri Lanka,18,Hagley Oval,7,0,2015
Abu Dhabi,31,18,Pakistan,1,54,10,0,South Africa,30,Sheikh Zayed Stadium,9,0,2010
Mirpur,1,17,Bangladesh,1,64,12,0,Zimbabwe,22,Shere Bangla National Stadium,0,0,2014
Delhi,31,9,India,1,38,10,0,Australia,24,Feroz Shah Kotla,5,0,2009
Barbados,28,23,West Indies,0,84,4,0,Pakistan,26,"Kensington Oval, Bridgetown",20,1,2011
Brisbane,7,16,Australia,1,71,11,0,Sri Lanka,22,"Brisbane Cricket Ground, Woolloongabba",14,0,2010
Mirpur,12,26,Bangladesh,1,72,7,0,South Africa,30,Shere Bangla National Stadium,1,0,2015
St Lucia,24,24,West Indies,0,77,7,0,Pakistan,28,"Beausejour Stadium, Gros Islet",9,1,2013
Perth,30,16,England,1,62,1,0,New Zealand,24,Western Australia Cricket Association Ground,15,1,2007
Dublin,18,11,Ireland,1,81,8,0,Netherlands,14,Clontarf Cricket Club Ground,15,0,2010
Barbados,11,22,Bangladesh,0,71,4,0,England,27,"Kensington Oval, Bridgetown",19,1,2007
Mirpur,17,26,Bangladesh,1,79,6,0,India,30,Shere Bangla National Stadium,2,1,2014
Guyana,20,23,West Indies,1,84,3,0,England,26,Providence Stadium,13,1,2009
Colombo,31,22,Sri Lanka,1,83,1,2,West Indies,28,Sinhalese Sports Club Ground,10,0,2011
Southampton,22,8,England,1,51,6,0,Australia,16,The Rose Bowl,9,0,2010
Leeds,22,8,England,0,76,8,0,South Africa,12,Headingley,15,0,2008
Manchester,9,10,England,0,72,7,0,Sri Lanka,16,Old Trafford,15,0,2011
Mirpur,13,19,Bangladesh,1,44,4,0,Australia,30,Shere Bangla National Stadium,1,1,2011
Lahore,20,12,Pakistan,0,60,10,0,South Africa,23,Gaddafi Stadium,2,0,2007
Trinidad,17,21,Bangladesh,1,70,3,0,India,26,"Queen's Park Oval, Port of Spain",9,0,2007
St Vincent,10,24,West Indies,0,71,3,0,Zimbabwe,28,"Arnos Vale Ground, Kingstown",19,0,2010
Jaipur,11,14,Bangladesh,0,32,10,0,West Indies,28,Sawai Mansingh Stadium,8,1,2006
Guyana,16,24,West Indies,0,86,7,0,Pakistan,27,Providence Stadium,7,0,2013
London,9,16,England,1,84,9,0,India,18,Kennington Oval,12,0,2011
Nottingham,26,14,England,1,76,8,0,South Africa,19,Trent Bridge,19,0,2008
East London,21,19,South Africa,1,77,1,0,West Indies,21,Buffalo Park,17,0,2015
Jaipur,15,15,India,1,45,10,0,England,28,Sawai Mansingh Stadium,6,0,2006
London,5,13,England,0,71,9,0,India,18,Kennington Oval,8,1,2007
Auckland,31,19,New Zealand,1,81,1,0,Pakistan,23,Eden Park,10,0,2016
Dominica,28,21,West Indies,0,59,7,0,Bangladesh,28,"Windsor Park, Roseau",12,1,2009
Mirpur,15,12,Pakistan,1,37,3,0,Sri Lanka,25,Shere Bangla National Stadium,1,0,2012
Kimberley,20,14,South Africa,0,53,1,0,Sri Lanka,25,De Beers Diamond Oval,15,1,2012
Darwin,6,22,Australia,0,74,9,0,Bangladesh,27,Marrara Cricket Ground,11,0,2008
Kolkata,13,17,India,0,60,11,0,Sri Lanka,26,Eden Gardens,3,0,2014
London,28,15,England,0,83,6,0,Sri Lanka,18,Kennington Oval,8,0,2011
Johannesburg,29,10,England,0,85,9,0,New Zealand,12,New Wanderers Stadium,17,1,2009
Dublin,25,10,Ireland,1,81,8,0,England,12,Clontarf Cricket Club Ground,14,1,2011
Manchester,28,10,England,1,89,5,0,Sri Lanka,12,Old Trafford,13,0,2014
Ranchi,19,14,India,1,61,1,0,England,20,JSCA International Stadium Complex,6,0,2013
Bulawayo,8,5,Zimbabwe,1,48,5,0,Bangladesh,16,Queens Sports Club,10,0,2013
Hamilton,8,14,New Zealand,1,61,1,0,West Indies,20,Seddon Park,12,1,2014
Ranchi,23,20,India,1,87,10,2,Australia,22,JSCA International Stadium Complex,4,0,2013
Cardiff,24,14,England,0,91,8,2,South Africa,16,Sophia Gardens,12,0,2012
Jamaica,24,21,New Zealand,1,61,4,0,Sri Lanka,27,"Sabina Park, Kingston",8,1,2007
Hobart,23,6,Australia,0,56,1,0,Sri Lanka,12,Bellerive Oval,12,0,2013
Perth,31,8,Australia,1,39,1,0,Pakistan,23,Western Australia Cricket Association Ground,21,0,2010
Dubai,16,11,United Arab Emirates,1,37,11,0,Hong Kong,26,ICC Academy,9,1,2015
Colombo,3,22,Canada,1,75,3,0,Pakistan,28,R Premadasa Stadium,12,1,2011
Auckland,28,15,New Zealand,1,77,2,0,Australia,20,Eden Park,8,0,2015
Dominica,30,24,West Indies,0,70,5,0,South Africa,28,"Windsor Park, Roseau",8,1,2010
Mirpur,5,24,Bangladesh,0,69,10,0,New Zealand,30,Shere Bangla National Stadium,1,0,2010
Manchester,28,12,England,1,76,6,0,Sri Lanka,16,Old Trafford,7,1,2006
Delhi,11,15,India,0,50,10,0,West Indies,27,Feroz Shah Kotla,3,0,2014
Delhi,24,13,South Africa,1,70,2,0,West Indies,18,Feroz Shah Kotla,5,0,2011
Auckland,6,15,New Zealand,1,72,3,0,Australia,22,Eden Park,11,1,2010
St Lucia,25,23,West Indies,0,73,4,0,Pakistan,27,"Beausejour Stadium, Gros Islet",16,1,2011
Johannesburg,22,16,South Africa,0,84,1,0,Sri Lanka,20,New Wanderers Stadium,13,1,2012
Nagpur,25,19,Australia,1,73,2,0,New Zealand,24,"Vidarbha Cricket Association Stadium, Jamtha",5,0,2011
Durban,21,19,South Africa,0,82,3,0,Pakistan,22,Kingsmead,12,1,2013
Kochi,21,22,India,1,69,11,0,West Indies,28,Nehru Stadium,2,0,2013
Bristol,10,15,England,1,77,7,0,Bangladesh,20,County Ground,14,1,2010
St Kitts,6,24,West Indies,1,75,7,0,Australia,28,"Warner Park, Basseterre",20,1,2008
Napier,28,10,New Zealand,0,44,12,0,Sri Lanka,20,McLean Park,12,1,2006
Brisbane,14,22,Australia,0,74,2,0,West Indies,26,"Brisbane Cricket Ground, Woolloongabba",20,0,2010
Mumbai,5,21,Australia,1,63,11,0,West Indies,29,Brabourne Stadium,4,0,2006
London,13,10,England,0,73,6,0,Sri Lanka,16,Kennington Oval,25,1,2013
Bulawayo,16,10,Zimbabwe,1,36,10,0,Afghanistan,26,Queens Sports Club,11,0,2015
Dubai,11,11,Canada,0,38,3,0,Kenya,28,ICC Global Cricket Academy,14,1,2013
Colombo,5,23,Sri Lanka,0,82,3,2,Australia,27,R Premadasa Stadium,7,0,2011
Dublin,14,12,Ireland,0,82,7,2,West Indies,16,Clontarf Cricket Club Ground,23,0,2007
Johannesburg,30,9,India,1,75,9,0,West Indies,14,New Wanderers Stadium,18,0,2009
Durban,16,20,South Africa,0,69,1,0,West Indies,26,Kingsmead,19,0,2015
Belfast,6,7,Ireland,1,81,9,0,Scotland,10,"Civil Service Cricket Club, Stormont",8,0,2013
Chester-le-Street,10,14,England,0,91,9,0,Pakistan,16,Riverside Ground,7,0,2010
Nottingham,7,10,England,1,72,7,0,West Indies,16,Trent Bridge,19,1,2007
Chennai,22,22,India,0,70,10,0,South Africa,28,"MA Chidambaram Stadium, Chepauk",5,0,2015
Barbados,19,24,West Indies,0,77,4,0,Bangladesh,28,"Kensington Oval, Bridgetown",22,0,2007
Johannesburg,18,13,South Africa,0,72,1,0,West Indies,18,New Wanderers Stadium,18,0,2015
Karachi,2,24,Pakistan,1,65,7,0,India,32,National Stadium,21,0,2008
Grenada,22,24,West Indies,0,83,2,0,Zimbabwe,26,"National Cricket Stadium, St George's",14,0,2013
Bloemfontein,3,12,South Africa,1,46,2,0,England,26,Mangaung Oval,13,1,2016
Mirpur,22,22,Bangladesh,1,60,4,0,Pakistan,28,Shere Bangla National Stadium,5,0,2015
Kolkata,3,15,India,1,76,1,0,Pakistan,19,Eden Gardens,4,1,2013
Chester-le-Street,24,9,England,0,80,6,0,Sri Lanka,12,Riverside Ground,4,1,2006
St Vincent,14,22,West Indies,1,67,3,0,Zimbabwe,28,"Arnos Vale Ground, Kingstown",19,0,2010
Mirpur,8,24,Bangladesh,1,76,6,0,Pakistan,27,Shere Bangla National Stadium,1,1,2008
Bristol,24,13,England,1,77,8,0,India,18,County Ground,11,1,2007
