City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Mirpur,7,Bangladesh,0,11,0,Zimbabwe,Shere Bangla National Stadium,0,2015
Mirpur,11,Bangladesh,0,4,0,Australia,Shere Bangla National Stadium,1,2011
Mumbai,16,New Zealand,0,10,0,South Africa,Brabourne Stadium,0,2006
Karachi,16,Pakistan,1,12,0,West Indies,National Stadium,0,2006
Dubai,30,United Arab Emirates,1,11,0,Afghanistan,ICC Academy,0,2014
London,5,England,1,9,0,Australia,Lord's,1,2015
Antigua,28,West Indies,0,2,0,England,"Sir Vivian Richards Stadium, North Sound",0,2014
Cape Town,2,South Africa,1,12,0,New Zealand,Newlands,0,2007
Hobart,26,India,1,2,0,Sri Lanka,Bellerive Oval,0,2008
Jamaica,2,India,1,7,0,Sri Lanka,"Sabina Park, Kingston",1,2013
Christchurch,11,New Zealand,1,1,0,Sri Lanka,Hagley Oval,0,2015
Abu Dhabi,31,Pakistan,1,10,0,South Africa,Sheikh Zayed Stadium,0,2010
Mirpur,1,Bangladesh,1,12,0,Zimbabwe,Shere Bangla National Stadium,0,2014
Delhi,31,India,1,10,0,Australia,Feroz Shah Kotla,0,2009
Hambantota,10,Sri Lanka,1,11,0,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,2012
Barbados,28,West Indies,0,4,0,Pakistan,"Kensington Oval, Bridgetown",1,2011
Brisbane,7,Australia,1,11,0,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,2010
Mirpur,12,Bangladesh,1,7,0,South Africa,Shere Bangla National Stadium,0,2015
St Lucia,24,West Indies,0,7,0,Pakistan,"Beausejour Stadium, Gros Islet",1,2013
Perth,30,England,1,1,0,New Zealand,Western Australia Cricket Association Ground,1,2007
Dublin,18,Ireland,1,8,0,Netherlands,Clontarf Cricket Club Ground,0,2010
Barbados,11,Bangladesh,0,4,0,England,"Kensington Oval, Bridgetown",1,2007
Mirpur,17,Bangladesh,1,6,0,India,Shere Bangla National Stadium,1,2014
Guyana,20,West Indies,1,3,0,England,Providence Stadium,1,2009
Colombo,31,Sri Lanka,1,1,2,West Indies,Sinhalese Sports Club Ground,0,2011
Nairobi,2,Bermuda,1,2,0,Canada,Gymkhana Club Ground,1,2007
Chandigarh,3,Netherlands,1,3,0,South Africa,"Punjab Cricket Association Stadium, Mohali",1,2011
Southampton,22,England,1,6,0,Australia,The Rose Bowl,0,2010
Leeds,22,England,0,8,0,South Africa,Headingley,0,2008
Manchester,9,England,0,7,0,Sri Lanka,Old Trafford,0,2011
Mirpur,13,Bangladesh,1,4,0,Australia,Shere Bangla National Stadium,1,2011
Hambantota,23,Kenya,1,2,0,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,2011
Lahore,20,Pakistan,0,10,0,South Africa,Gaddafi Stadium,0,2007
Trinidad,17,Bangladesh,1,3,0,India,"Queen's Park Oval, Port of Spain",0,2007
St Vincent,10,West Indies,0,3,0,Zimbabwe,"Arnos Vale Ground, Kingstown",0,2010
Jaipur,11,Bangladesh,0,10,0,West Indies,Sawai Mansingh Stadium,1,2006
Faisalabad,23,Pakistan,1,10,0,South Africa,Iqbal Stadium,0,2007
Chandigarh,8,India,0,11,0,Pakistan,"Punjab Cricket Association Stadium, Mohali",1,2007
Guyana,16,West Indies,0,7,0,Pakistan,Providence Stadium,0,2013
London,9,England,1,9,0,India,Kennington Oval,0,2011
Nottingham,26,England,1,8,0,South Africa,Trent Bridge,0,2008
Nairobi,25,Kenya,1,10,0,Bermuda,Gymkhana Club Ground,0,2007
East London,21,South Africa,1,1,0,West Indies,Buffalo Park,0,2015
Jaipur,15,India,1,10,0,England,Sawai Mansingh Stadium,0,2006
London,5,England,0,9,0,India,Kennington Oval,1,2007
Auckland,31,New Zealand,1,1,0,Pakistan,Eden Park,0,2016
Dominica,28,West Indies,0,7,0,Bangladesh,"Windsor Park, Roseau",1,2009
Mirpur,15,Pakistan,1,3,0,Sri Lanka,Shere Bangla National Stadium,0,2012
Kimberley,20,South Africa,0,1,0,Sri Lanka,De Beers Diamond Oval,1,2012
Darwin,6,Australia,0,9,0,Bangladesh,Marrara Cricket Ground,0,2008
Kolkata,13,India,0,11,0,Sri Lanka,Eden Gardens,0,2014
London,28,England,0,6,0,Sri Lanka,Kennington Oval,0,2011
Johannesburg,29,England,0,9,0,New Zealand,New Wanderers Stadium,1,2009
Durban,1,South Africa,1,2,0,West Indies,Kingsmead,0,2008
Dublin,25,Ireland,1,8,0,England,Clontarf Cricket Club Ground,1,2011
Manchester,28,England,1,5,0,Sri Lanka,Old Trafford,0,2014
Ranchi,19,India,1,1,0,England,JSCA International Stadium Complex,0,2013
Bulawayo,8,Zimbabwe,1,5,0,Bangladesh,Queens Sports Club,0,2013
Hamilton,8,New Zealand,1,1,0,West Indies,Seddon Park,1,2014
Ranchi,23,India,1,10,2,Australia,JSCA International Stadium Complex,0,2013
Cardiff,24,England,0,8,2,South Africa,Sophia Gardens,0,2012
Jamaica,24,New Zealand,1,4,0,Sri Lanka,"Sabina Park, Kingston",1,2007
Hobart,23,Australia,0,1,0,Sri Lanka,Bellerive Oval,0,2013
Perth,31,Australia,1,1,0,Pakistan,Western Australia Cricket Association Ground,0,2010
Dubai,16,United Arab Emirates,1,11,0,Hong Kong,ICC Academy,1,2015
Colombo,3,Canada,1,3,0,Pakistan,R Premadasa Stadium,1,2011
Auckland,28,New Zealand,1,2,0,Australia,Eden Park,0,2015
Dominica,30,West Indies,0,5,0,South Africa,"Windsor Park, Roseau",1,2010
Mirpur,5,Bangladesh,0,10,0,New Zealand,Shere Bangla National Stadium,0,2010
