Venue,Stadium Win Rate,FirstToBat,Home Field Advantage,SecondTeam,WinLose ratio bat or bowl first against team,Year,DewPoint,Humidity,WindSpeed,Temp,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Winner
AMI Stadium,1,0,0,New Zealand,2,2009,9,63,9,18,P Kumar,SR Tendulkar,YK Pathan,MS Dhoni,V Sehwag,G Gambhir,Z Khan,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,JD Ryder,BB McCullum,TG Southee,LRPL Taylor,JS Patel,KD Mills,MJ Guptill,IG Butler,PD McGlashan,GD Elliott,JDP Oram,1
Barabati Stadium,1,0,1,Sri Lanka,1.4,2014,16.67,66.4,9,23.3,AT Rayudu,SK Raina,AM Rahane,VR Aaron,I Sharma,V Kohli,AR Patel,WP Saha,S Dhawan,UT Yadav,R Ashwin,S Randiv,SMA Priyanjan,S Prasanna,TM Dilshan,DPMD Jayawardene,KTGD Prasad,PLS Gamage,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,0
"Beausejour Stadium, Gros Islet",0.5,1,0,West Indies,1.64,2009,24,78,25,28,RP Singh,Yuvraj Singh,,MS Dhoni,I Sharma,A Nehra,G Gambhir,RG Sharma,KD Karthik,Harbhajan Singh,YK Pathan,R Rampaul,JE Taylor,S Chanderpaul,DM Bravo,SJ Benn,CH Gayle,D Ramdin,RS Morton,DE Bernard,DJ Bravo,RR Sarwan,0
Bellerive Oval,1,1,0,Sri Lanka,1.9,2008,8,62,12,14,P Kumar,SR Tendulkar,,I Sharma,G Gambhir,RV Uthappa,RG Sharma,Harbhajan Singh,MM Patel,IK Pathan,Yuvraj Singh,LPC Silva,MDK Perera,DPMD Jayawardene,TM Dilshan,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,WPUJC Vaas,M Muralitharan,MKDI Amerasinghe,0
Bellerive Oval,1,1,0,Sri Lanka,1.9,2012,10,68,15,16,P Kumar,SR Tendulkar,,V Sehwag,V Kohli,Z Khan,G Gambhir,R Ashwin,RA Jadeja,UT Yadav,SK Raina,HMRKB Herath,DPMD Jayawardene,,KMDN Kulasekara,TM Dilshan,SL Malinga,KC Sangakkara,NLTC Perera,AD Mathews,LD Chandimal,MF Maharoof,0
"Brisbane Cricket Ground, Woolloongabba",0.1428571429,0,0,Australia,0.5,2016,19,67,14,25,MS Dhoni,UT Yadav,AM Rahane,MK Pandey,I Sharma,V Kohli,BB Sran,RG Sharma,S Dhawan,RA Jadeja,R Ashwin,GJ Maxwell,KW Richardson,,JP Faulkner,SPD Smith,GJ Bailey,AJ Finch,JW Hastings,JS Paris,SE Marsh,SM Boland,1
"Brisbane Cricket Ground, Woolloongabba",0.1428571429,0,0,Australia,0.5,2008,15,66,13,20,PP Chawla,SR Tendulkar,S Sreesanth,P Kumar,MS Dhoni,G Gambhir,RG Sharma,RV Uthappa,Harbhajan Singh,IK Pathan,Yuvraj Singh,RT Ponting,MG Johnson,MEK Hussey,MJ Clarke,ML Hayden,B Lee,NW Bracken,A Symonds,SR Clark,AC Gilchrist,JR Hopes,0
"Brisbane Cricket Ground, Woolloongabba",0.1428571429,0,0,England,1.25,2015,19,72,14,24,AT Rayudu,STR Binny,AM Rahane,B Kumar,MS Dhoni,V Kohli,AR Patel,S Dhawan,UT Yadav,SK Raina,Mohammed Shami,SCJ Broad,,,IR Bell,ST Finn,MM Ali,JM Anderson,JWA Taylor,CR Woakes,,,1
"Brisbane Cricket Ground, Woolloongabba",0.1428571429,1,0,Australia,0.6,2012,21,77,10,24,MS Dhoni,SR Tendulkar,R Vinay Kumar,V Kohli,Z Khan,G Gambhir,RG Sharma,UT Yadav,RA Jadeja,IK Pathan,SK Raina,RT Ponting,BW Hilfenhaus,MEK Hussey,DA Warner,PJ Forrest,XJ Doherty,MS Wade,B Lee,MA Starc,DT Christian,DJ Hussey,1
"Brisbane Cricket Ground, Woolloongabba",0.1428571429,1,0,Sri Lanka,1.9,2012,22,83,13,26,V Sehwag,SR Tendulkar,R Vinay Kumar,V Kohli,G Gambhir,R Ashwin,UT Yadav,RA Jadeja,PA Patel,IK Pathan,SK Raina,HMRKB Herath,MF Maharoof,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HDRL Thirimanne,SL Malinga,KC Sangakkara,NLTC Perera,AD Mathews,LD Chandimal,1
Captain Roop Singh Stadium,1,0,1,South Africa,2.33,2010,14,60,2,22,P Kumar,,,MS Dhoni,V Sehwag,A Nehra,KD Karthik,RA Jadeja,YK Pathan,SR Tendulkar,S Sreesanth,DW Steyn,RE van der Merwe,JH Kallis,JP Duminy,CK Langeveldt,AB de Villiers,HH Gibbs,MV Boucher,AN Petersen,WD Parnell,HM Amla,0
Captain Roop Singh Stadium,1,1,1,Pakistan,1.375,2007,12,49,0,22,RP Singh,SR Tendulkar,,MS Dhoni,V Sehwag,Z Khan,G Gambhir,SC Ganguly,Harbhajan Singh,IK Pathan,Yuvraj Singh,Salman Butt,Mohammad Yousuf,Misbah-ul-Haq,Sohail Tanvir,Kamran Akmal,Younis Khan,Shoaib Akhtar,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,0
"Civil Service Cricket Club, Stormont",0.75,0,0,South Africa,2.33,2007,7,71,20,11,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,R Dravid,G Gambhir,Z Khan,RG Sharma,KD Karthik,SC Ganguly,AB de Villiers,MN van Wyk,JH Kallis,CK Langeveldt,JP Duminy,AJ Hall,HH Gibbs,MV Boucher,M Ntini,A Nel,VD Philander,1
"Civil Service Cricket Club, Stormont",0.75,1,0,South Africa,0.666,2007,8,75,13,12,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,MS Dhoni,I Sharma,R Dravid,Z Khan,KD Karthik,SC Ganguly,JP Duminy,A Nel,JH Kallis,AB de Villiers,CK Langeveldt,AJ Hall,MV Boucher,HH Gibbs,M Ntini,MS Tshabalala,MN van Wyk,0
"Civil Service Cricket Club, Stormont",0.75,1,0,South Africa,0.666,2007,13,88,14,15,PP Chawla,SR Tendulkar,,AB Agarkar,RP Singh,MS Dhoni,R Dravid,Z Khan,G Gambhir,SC Ganguly,Yuvraj Singh,DW Steyn,JM Kemp,JH Kallis,JP Duminy,AB de Villiers,AJ Hall,HH Gibbs,MV Boucher,M Ntini,MN van Wyk,A Nel,0
County Ground,1,0,0,England,1.25,2007,13,77,11,18,AB Agarkar,Yuvraj Singh,SR Tendulkar,PP Chawla,RP Singh,RR Powar,MS Dhoni,R Dravid,KD Karthik,SC Ganguly,MM Patel,SCJ Broad,AN Cook,KP Pietersen,MJ Prior,IR Bell,CT Tremlett,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,AD Mascarenhas,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.75,1,1,Australia,0.6,2010,16.67,66.4,9,23.3,P Kumar,R Vinay Kumar,M Vijay,MS Dhoni,A Nehra,V Kohli,S Dhawan,SS Tiwary,R Ashwin,SK Raina,Yuvraj Singh,CJ McKay,CL White,MEK Hussey,MJ Clarke,SPD Smith,MA Starc,JW Hastings,TD Paine,SE Marsh,JR Hopes,NM Hauritz,0
Eden Gardens,0.6,0,1,England,1.25,2011,21,71,2,27,P Kumar,R Vinay Kumar,AM Rahane,MS Dhoni,VR Aaron,V Kohli,G Gambhir,RA Jadeja,R Ashwin,MK Tiwary,SK Raina,SC Meaker,AN Cook,SR Patel,GP Swann,C Kieswetter,IJL Trott,TT Bresnan,JM Bairstow,IR Bell,ST Finn,RS Bopara,0
Eden Gardens,0.6,0,1,Sri Lanka,1.4,2014,17,60,3,26,AT Rayudu,STR Binny,AM Rahane,V Kohli,AR Patel,RV Uthappa,RG Sharma,UT Yadav,KV Sharma,DS Kulkarni,SK Raina,RMS Eranga,LD Chandimal,S Prasanna,MDKJ Perera,KMDN Kulasekara,TM Dilshan,DPMD Jayawardene,HDRL Thirimanne,NLTC Perera,AD Mathews,BAW Mendis,0
Eden Gardens,0.6,1,1,Pakistan,1.375,2013,15,76,4,19,B Kumar,Yuvraj Singh,AB Dinda,MS Dhoni,I Sharma,V Sehwag,G Gambhir,V Kohli,R Ashwin,RA Jadeja,SK Raina,Saeed Ajmal,Mohammad Irfan,Misbah-ul-Haq,Kamran Akmal,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Azhar Ali,Shoaib Malik,1
Eden Gardens,0.6,1,1,Sri Lanka,1.9,2009,11,67,2,18,V Sehwag,SK Raina,SR Tendulkar,A Nehra,Z Khan,I Sharma,G Gambhir,V Kohli,KD Karthik,Harbhajan Singh,RA Jadeja,S Randiv,NLTC Perera,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,RAS Lakmal,TM Dilshan,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,0
Eden Park,0.33,0,0,New Zealand,2,2009,13,83,8,16,P Kumar,Yuvraj Singh,YK Pathan,MS Dhoni,V Sehwag,I Sharma,G Gambhir,Z Khan,RG Sharma,Harbhajan Singh,SK Raina,JD Ryder,,,IE O'Brien,LRPL Taylor,KD Mills,MJ Guptill,DL Vettori,JDP Oram,BB McCullum,,1
