City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Hobart,26,India,1,P Kumar,SR Tendulkar,,I Sharma,G Gambhir,RV Uthappa,RG Sharma,Harbhajan Singh,MM Patel,IK Pathan,Yuvraj Singh,2,LPC Silva,MDK Perera,DPMD Jayawardene,TM Dilshan,SL Malinga,ST Jayasuriya,KC Sangakkara,CK Kapugedera,WPUJC Vaas,M Muralitharan,MKDI Amerasinghe,0,Sri Lanka,Bellerive Oval,0,2008
Jamaica,2,India,1,I Sharma,Mohammed Shami,M Vijay,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,UT Yadav,SK Raina,7,HMRKB Herath,,,KMDN Kulasekara,SL Malinga,WU Tharanga,SMSM Senanayake,AD Mathews,DPMD Jayawardene,,,0,Sri Lanka,"Sabina Park, Kingston",1,2013
Delhi,31,India,1,P Kumar,Yuvraj Singh,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Sehwag,G Gambhir,Harbhajan Singh,RA Jadeja,SK Raina,10,RT Ponting,MEK Hussey,,PM Siddle,MC Henriques,AC Voges,SR Watson,NM Hauritz,DE Bollinger,MG Johnson,CL White,0,Australia,Feroz Shah Kotla,0,2009
Mirpur,17,Bangladesh,1,AT Rayudu,AM Rahane,CA Pujara,A Mishra,MM Sharma,AR Patel,RV Uthappa,WP Saha,UT Yadav,SK Raina,STR Binny,6,Mashrafe Mortaza,Al-Amin Hossain,Shakib Al Hasan,Tamim Iqbal,Mushfiqur Rahim,Ziaur Rahman,Mithun Ali,Mahmudullah,Taskin Ahmed,Anamul Haque,Nasir Hossain,0,India,Shere Bangla National Stadium,1,2014
Trinidad,17,Bangladesh,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,V Sehwag,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,MM Patel,3,Mashrafe Mortaza,Shakib Al Hasan,Shahriar Nafees,Mohammad Ashraful,Tamim Iqbal,Mushfiqur Rahim,Syed Rasel,Mohammad Rafique,Abdur Razzak,Aftab Ahmed,Habibul Bashar,0,India,"Queen's Park Oval, Port of Spain",0,2007
Chandigarh,8,India,0,RP Singh,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,G Gambhir,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,IK Pathan,11,Salman Butt,Mohammad Yousuf,Misbah-ul-Haq,Sohail Tanvir,Kamran Akmal,Shoaib Akhtar,Younis Khan,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,0,Pakistan,"Punjab Cricket Association Stadium, Mohali",1,2007
London,9,England,1,RP Singh,SK Raina,AM Rahane,P Kumar,MS Dhoni,R Dravid,V Kohli,RA Jadeja,PA Patel,R Ashwin,MM Patel,9,SCJ Broad,AN Cook,BA Stokes,GP Swann,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,IR Bell,RS Bopara,JM Anderson,0,India,Kennington Oval,0,2011
Jaipur,15,India,1,AB Agarkar,Yuvraj Singh,SR Tendulkar,RR Powar,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,MM Patel,IK Pathan,SK Raina,10,CMW Read,KP Pietersen,SJ Harmison,MH Yardy,AJ Strauss,JWM Dalrymple,IR Bell,SI Mahmood,A Flintoff,PD Collingwood,JM Anderson,0,England,Sawai Mansingh Stadium,0,2006
London,5,England,0,PP Chawla,Yuvraj Singh,SR Tendulkar,AB Agarkar,RR Powar,MS Dhoni,R Dravid,Z Khan,G Gambhir,RV Uthappa,SC Ganguly,9,OA Shah,AN Cook,KP Pietersen,SCJ Broad,MJ Prior,IR Bell,LJ Wright,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,0,India,Kennington Oval,1,2007
Kolkata,13,India,0,AT Rayudu,STR Binny,AM Rahane,V Kohli,AR Patel,RV Uthappa,RG Sharma,UT Yadav,KV Sharma,DS Kulkarni,SK Raina,11,RMS Eranga,LD Chandimal,S Prasanna,MDKJ Perera,KMDN Kulasekara,TM Dilshan,DPMD Jayawardene,HDRL Thirimanne,NLTC Perera,AD Mathews,BAW Mendis,0,Sri Lanka,Eden Gardens,0,2014
